Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Stress_Level,Mental_Health_Condition,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
58,Non-binary,HR,Consulting,10,Hybrid,41,8,Low,Burnout,Neutral,2,Daily,Average,North America
50,Prefer not to say,Project Manager,Consulting,9,Hybrid,55,12,Medium,Burnout,Satisfied,3,None,Average,North America
50,Female,Sales,Healthcare,31,Onsite,50,4,Low,Anxiety,Satisfied,5,None,Poor,North America
24,Female,Data Scientist,Finance,35,Remote,50,10,Low,None,Satisfied,5,Weekly,Poor,North America
52,Female,Sales,Healthcare,26,Hybrid,30,15,Low,Depression,Satisfied,5,None,Poor,North America
27,Female,Marketing,Consulting,32,Hybrid,53,0,Medium,Depression,Neutral,1,Daily,Poor,North America
33,Female,Project Manager,IT,25,Hybrid,33,7,High,Anxiety,Neutral,1,Daily,Average,North America
28,Non-binary,Marketing,Finance,26,Hybrid,23,15,High,Depression,Unsatisfied,1,Daily,Poor,North America
59,Prefer not to say,HR,Finance,3,Hybrid,39,8,Low,Depression,Neutral,5,Weekly,Poor,North America
37,Non-binary,Sales,Healthcare,28,Remote,52,3,Low,Burnout,Unsatisfied,3,Daily,Poor,North America
58,Prefer not to say,Data Scientist,Manufacturing,32,Onsite,57,9,Low,Anxiety,Satisfied,5,Weekly,Good,North America
41,Prefer not to say,HR,IT,19,Hybrid,24,8,Low,Depression,Satisfied,5,Daily,Poor,North America
23,Female,Software Engineer,Retail,13,Hybrid,56,12,High,Burnout,Neutral,5,Daily,Average,North America
43,Prefer not to say,Sales,Finance,10,Hybrid,42,11,High,None,Neutral,3,Weekly,Poor,North America
39,Prefer not to say,Software Engineer,Education,16,Remote,24,4,Medium,Anxiety,Neutral,5,Daily,Good,North America
41,Non-binary,Designer,Education,14,Hybrid,57,7,Medium,Anxiety,Unsatisfied,3,Weekly,Good,North America
23,Male,Data Scientist,Finance,23,Remote,41,13,Low,Burnout,Neutral,2,Daily,Good,North America
53,Female,Software Engineer,Retail,14,Onsite,40,13,Low,Burnout,Unsatisfied,5,Daily,Poor,North America
27,Female,Sales,Healthcare,17,Remote,29,15,Low,Burnout,Satisfied,5,None,Poor,North America
49,Female,Data Scientist,Education,6,Remote,37,13,Medium,None,Unsatisfied,3,None,Good,North America
30,Prefer not to say,Project Manager,Consulting,26,Hybrid,28,4,High,Anxiety,Unsatisfied,5,Weekly,Good,North America
28,Non-binary,Project Manager,IT,5,Onsite,22,5,Medium,Anxiety,Satisfied,1,Daily,Poor,North America
45,Prefer not to say,HR,Retail,12,Hybrid,46,0,Medium,None,Unsatisfied,3,Daily,Poor,North America
35,Female,Marketing,Retail,14,Onsite,32,4,Low,Anxiety,Satisfied,3,None,Good,North America
59,Prefer not to say,Project Manager,Healthcare,27,Remote,25,11,High,Depression,Neutral,1,Daily,Average,North America
28,Male,Designer,Education,32,Hybrid,51,3,Medium,Burnout,Satisfied,5,None,Poor,North America
38,Male,Project Manager,IT,26,Hybrid,39,0,High,Anxiety,Neutral,3,Weekly,Good,North America
46,Non-binary,HR,IT,4,Remote,57,13,High,Depression,Satisfied,5,Daily,Poor,North America
34,Female,Software Engineer,Education,2,Hybrid,25,9,Medium,Depression,Neutral,1,Weekly,Average,North America
48,Prefer not to say,HR,Retail,34,Onsite,39,9,Medium,Anxiety,Satisfied,4,Weekly,Good,North America
52,Prefer not to say,HR,Finance,35,Hybrid,45,12,High,Burnout,Satisfied,4,None,Average,North America
52,Male,Marketing,Healthcare,19,Hybrid,44,8,Medium,Burnout,Neutral,1,None,Poor,North America
43,Male,HR,IT,18,Remote,22,13,Low,Anxiety,Neutral,4,Weekly,Poor,North America
31,Prefer not to say,Data Scientist,Retail,6,Hybrid,20,2,Low,Depression,Neutral,4,None,Poor,North America
31,Male,Project Manager,Healthcare,6,Hybrid,49,11,Low,Depression,Unsatisfied,4,Daily,Average,North America
35,Prefer not to say,Sales,Healthcare,13,Onsite,44,6,High,Depression,Neutral,2,None,Average,North America
60,Female,Marketing,Education,10,Hybrid,34,13,High,None,Unsatisfied,1,Weekly,Good,North America
33,Female,Software Engineer,Finance,13,Hybrid,36,2,Medium,Burnout,Satisfied,5,Weekly,Good,North America
27,Prefer not to say,HR,Consulting,14,Onsite,27,1,High,Burnout,Unsatisfied,4,Weekly,Poor,North America
52,Prefer not to say,Designer,Healthcare,11,Hybrid,28,13,Low,Anxiety,Unsatisfied,4,None,Average,North America
53,Female,Designer,Finance,13,Hybrid,56,1,Medium,Depression,Unsatisfied,4,None,Average,North America
42,Male,Sales,Finance,7,Remote,38,1,High,Anxiety,Unsatisfied,3,None,Poor,North America
55,Male,Sales,Manufacturing,20,Hybrid,27,10,Low,Depression,Satisfied,2,None,Poor,North America
38,Non-binary,Data Scientist,Finance,31,Hybrid,28,3,High,Anxiety,Unsatisfied,5,None,Poor,North America
50,Male,Designer,Retail,15,Onsite,36,6,Low,Burnout,Satisfied,1,Daily,Poor,North America
37,Prefer not to say,HR,Consulting,14,Hybrid,60,1,High,Burnout,Satisfied,4,None,Good,North America
39,Female,Designer,Finance,29,Onsite,37,1,Low,Burnout,Satisfied,4,Weekly,Good,North America
23,Male,Project Manager,Education,21,Remote,57,5,Low,Anxiety,Unsatisfied,4,Daily,Average,North America
23,Male,Designer,Education,1,Remote,25,3,High,None,Neutral,4,None,Average,North America
41,Non-binary,Data Scientist,Finance,33,Remote,39,13,Medium,Burnout,Neutral,3,Weekly,Good,North America
44,Female,Sales,Healthcare,20,Remote,27,7,High,Depression,Neutral,5,Daily,Average,North America
30,Prefer not to say,Sales,Consulting,1,Onsite,35,8,Medium,Depression,Satisfied,4,None,Poor,North America
58,Male,Marketing,Retail,3,Onsite,59,9,Medium,None,Neutral,3,None,Poor,North America
26,Non-binary,Designer,Finance,25,Remote,26,9,High,None,Neutral,3,None,Average,North America
57,Non-binary,HR,Healthcare,23,Onsite,28,12,Medium,None,Unsatisfied,1,Weekly,Poor,North America
40,Prefer not to say,Designer,Education,7,Onsite,55,9,Low,None,Neutral,4,None,Average,North America
29,Male,Software Engineer,Manufacturing,19,Remote,43,5,Medium,Burnout,Satisfied,5,None,Average,North America
41,Prefer not to say,Designer,Consulting,11,Onsite,35,7,High,Anxiety,Unsatisfied,5,Daily,Good,North America
53,Non-binary,Software Engineer,Healthcare,19,Onsite,39,14,High,Burnout,Satisfied,2,None,Poor,North America
46,Male,HR,Healthcare,30,Onsite,60,12,Medium,Depression,Satisfied,2,Weekly,Poor,North America
43,Female,Project Manager,Finance,23,Remote,23,0,High,Depression,Satisfied,1,Daily,Poor,North America
59,Prefer not to say,Designer,Consulting,17,Remote,36,2,Low,Anxiety,Unsatisfied,4,Daily,Average,North America
29,Non-binary,Software Engineer,Finance,31,Onsite,56,7,Medium,Depression,Neutral,4,Weekly,Poor,North America
39,Male,Software Engineer,Education,5,Hybrid,51,0,Medium,Anxiety,Neutral,3,None,Poor,North America
33,Female,Marketing,IT,3,Onsite,60,12,Low,None,Neutral,1,Daily,Good,North America
45,Female,Project Manager,Education,6,Hybrid,40,1,High,Anxiety,Unsatisfied,3,Daily,Good,North America
40,Female,Sales,Healthcare,9,Remote,58,10,Medium,Depression,Satisfied,2,Weekly,Average,North America
38,Male,Designer,Consulting,20,Hybrid,36,7,Medium,Anxiety,Unsatisfied,5,None,Average,North America
60,Non-binary,Designer,Finance,8,Hybrid,47,0,High,Anxiety,Satisfied,5,Daily,Poor,North America
46,Non-binary,Data Scientist,Manufacturing,5,Hybrid,59,10,Medium,None,Neutral,1,None,Poor,North America
39,Prefer not to say,Software Engineer,Manufacturing,8,Hybrid,41,13,Medium,Burnout,Unsatisfied,4,Daily,Poor,North America
46,Male,Sales,Manufacturing,12,Onsite,22,1,Medium,Burnout,Satisfied,5,None,Average,North America
46,Non-binary,HR,Finance,4,Hybrid,57,14,Medium,None,Satisfied,5,Weekly,Poor,North America
50,Prefer not to say,Project Manager,Finance,22,Hybrid,55,14,Medium,Depression,Neutral,2,Weekly,Good,North America
51,Non-binary,Sales,Education,1,Hybrid,47,12,Medium,Burnout,Unsatisfied,5,None,Average,North America
43,Non-binary,Software Engineer,Manufacturing,10,Remote,53,15,Medium,None,Neutral,1,Daily,Average,North America
36,Female,Marketing,Retail,10,Hybrid,39,10,Medium,Anxiety,Neutral,1,Daily,Poor,North America
58,Female,Sales,Healthcare,19,Remote,43,13,Medium,None,Unsatisfied,4,Daily,Poor,North America
26,Prefer not to say,Project Manager,Education,5,Hybrid,51,0,Low,None,Unsatisfied,1,Daily,Good,North America
33,Non-binary,Sales,Manufacturing,16,Onsite,55,4,Low,Burnout,Neutral,4,Daily,Good,North America
47,Prefer not to say,Designer,Manufacturing,1,Hybrid,38,10,Low,None,Neutral,3,Daily,Poor,North America
37,Prefer not to say,Designer,Consulting,33,Hybrid,42,1,Low,Burnout,Satisfied,5,None,Average,North America
59,Non-binary,Designer,Finance,13,Hybrid,30,6,High,None,Unsatisfied,2,Daily,Poor,North America
36,Female,HR,Education,35,Remote,26,14,Medium,Anxiety,Satisfied,1,None,Average,North America
53,Male,Sales,Finance,9,Remote,46,13,Medium,Burnout,Satisfied,3,None,Good,North America
43,Male,Project Manager,IT,30,Remote,54,3,Low,Burnout,Neutral,1,Daily,Good,North America
35,Male,Designer,Consulting,33,Hybrid,22,1,Medium,Burnout,Satisfied,3,Daily,Poor,North America
49,Non-binary,Project Manager,Manufacturing,9,Hybrid,31,8,Medium,Burnout,Neutral,5,Weekly,Average,North America
48,Female,Software Engineer,Manufacturing,25,Onsite,31,10,Low,None,Satisfied,5,Weekly,Good,North America
51,Non-binary,HR,Healthcare,13,Remote,53,3,High,Anxiety,Neutral,5,Weekly,Average,North America
60,Female,Software Engineer,Healthcare,24,Remote,40,13,Medium,None,Neutral,3,Daily,Good,North America
48,Non-binary,Marketing,Manufacturing,29,Onsite,46,9,High,Burnout,Neutral,4,None,Good,North America
29,Male,Software Engineer,Healthcare,30,Hybrid,48,2,Medium,None,Satisfied,5,Daily,Average,North America
56,Prefer not to say,Designer,Finance,2,Remote,43,14,Medium,None,Unsatisfied,2,Daily,Good,North America
32,Male,Marketing,Healthcare,32,Onsite,26,12,High,Anxiety,Unsatisfied,2,None,Good,North America
41,Female,Marketing,Finance,3,Remote,27,1,Medium,None,Neutral,1,Weekly,Good,North America
41,Prefer not to say,Marketing,Education,14,Onsite,42,2,High,Depression,Neutral,2,Weekly,Good,North America
40,Non-binary,Project Manager,Consulting,4,Hybrid,44,2,Low,Burnout,Satisfied,3,Weekly,Average,North America
25,Female,Designer,Healthcare,31,Hybrid,37,7,High,Burnout,Neutral,1,Daily,Poor,North America
32,Prefer not to say,Project Manager,Consulting,33,Onsite,50,7,High,None,Satisfied,2,None,Good,North America
30,Male,Software Engineer,IT,1,Hybrid,51,8,Medium,Burnout,Unsatisfied,5,None,Poor,North America
45,Non-binary,Software Engineer,Finance,21,Onsite,22,15,Low,None,Neutral,1,Weekly,Average,North America
38,Female,Project Manager,Consulting,33,Remote,26,12,Low,Burnout,Satisfied,3,Daily,Average,North America
52,Male,Project Manager,Consulting,6,Hybrid,23,10,Medium,Burnout,Unsatisfied,4,Weekly,Average,North America
57,Non-binary,HR,Manufacturing,23,Remote,37,7,Medium,Burnout,Neutral,5,Weekly,Poor,North America
50,Female,Marketing,Education,34,Onsite,27,11,Medium,None,Satisfied,3,None,Good,North America
46,Non-binary,Sales,Retail,7,Hybrid,39,15,Low,Anxiety,Satisfied,1,None,Average,North America
36,Non-binary,Designer,Retail,5,Remote,47,2,Low,None,Satisfied,5,Weekly,Good,North America
34,Female,Data Scientist,Healthcare,7,Remote,25,4,High,Depression,Satisfied,1,Weekly,Good,North America
45,Female,Designer,IT,28,Onsite,26,7,High,Anxiety,Neutral,2,Weekly,Poor,North America
59,Prefer not to say,Designer,IT,34,Onsite,60,2,Low,Anxiety,Unsatisfied,4,Weekly,Poor,North America
56,Female,Software Engineer,Finance,5,Remote,53,6,Medium,Burnout,Unsatisfied,1,Weekly,Good,North America
48,Male,Marketing,Education,3,Remote,50,6,High,Anxiety,Neutral,2,Daily,Poor,North America
24,Female,Data Scientist,Manufacturing,24,Remote,40,9,Low,Anxiety,Satisfied,5,Daily,Average,North America
23,Non-binary,HR,Education,35,Onsite,25,14,Low,None,Neutral,3,Daily,Poor,North America
49,Prefer not to say,Data Scientist,Education,25,Remote,35,11,Low,None,Satisfied,5,None,Good,North America
26,Non-binary,Software Engineer,Education,33,Hybrid,23,4,High,Anxiety,Satisfied,4,Weekly,Average,North America
48,Male,Data Scientist,IT,18,Onsite,43,5,Medium,Anxiety,Satisfied,4,Daily,Average,North America
60,Male,Project Manager,Education,33,Remote,30,8,Medium,Anxiety,Neutral,5,Weekly,Good,North America
24,Male,Sales,Healthcare,21,Onsite,29,1,Medium,None,Satisfied,3,None,Average,North America
57,Female,Designer,Consulting,12,Onsite,43,9,High,Anxiety,Satisfied,1,Weekly,Poor,North America
52,Prefer not to say,Marketing,IT,28,Hybrid,22,9,Low,None,Satisfied,4,Weekly,Average,North America
22,Non-binary,Sales,Education,7,Onsite,56,3,Low,Depression,Neutral,4,Daily,Average,North America
36,Prefer not to say,Designer,Retail,22,Hybrid,35,10,Low,None,Neutral,5,Weekly,Average,North America
59,Prefer not to say,Marketing,IT,19,Hybrid,54,11,High,Burnout,Neutral,3,None,Average,North America
50,Male,Project Manager,Healthcare,10,Hybrid,58,12,High,Anxiety,Unsatisfied,5,Daily,Good,North America
49,Non-binary,Marketing,Consulting,7,Hybrid,33,4,High,Anxiety,Neutral,2,Weekly,Poor,North America
59,Female,Sales,Manufacturing,17,Hybrid,58,5,Low,Anxiety,Unsatisfied,4,Weekly,Good,North America
28,Male,Software Engineer,Healthcare,15,Onsite,42,7,Medium,Depression,Neutral,5,Daily,Average,North America
31,Male,Software Engineer,Healthcare,3,Remote,45,5,Medium,Burnout,Neutral,2,None,Good,North America
22,Male,Project Manager,Retail,20,Onsite,59,7,Medium,Burnout,Unsatisfied,2,None,Good,North America
48,Non-binary,Project Manager,Manufacturing,18,Remote,30,6,Low,Anxiety,Satisfied,2,None,Poor,North America
38,Prefer not to say,Marketing,Finance,22,Remote,40,14,High,Depression,Satisfied,1,Weekly,Good,North America
52,Non-binary,HR,Education,35,Remote,23,5,High,Anxiety,Unsatisfied,4,Daily,Good,North America
32,Prefer not to say,Project Manager,Healthcare,34,Onsite,43,15,Medium,Burnout,Neutral,3,None,Good,North America
22,Female,HR,Education,24,Onsite,45,1,Medium,Anxiety,Unsatisfied,4,Weekly,Poor,North America
42,Female,Marketing,Manufacturing,25,Remote,45,12,High,Depression,Unsatisfied,4,Daily,Average,North America
50,Male,Project Manager,Education,11,Hybrid,56,0,High,Anxiety,Unsatisfied,4,Daily,Average,North America
59,Prefer not to say,Data Scientist,Consulting,4,Hybrid,56,1,Low,None,Neutral,3,Weekly,Good,North America
51,Non-binary,Data Scientist,Manufacturing,34,Remote,32,7,High,Anxiety,Satisfied,1,Weekly,Average,North America
30,Female,Data Scientist,Finance,2,Remote,60,8,High,Burnout,Satisfied,2,Daily,Average,North America
42,Female,Designer,IT,30,Onsite,52,3,High,Depression,Unsatisfied,1,Daily,Average,North America
52,Prefer not to say,Marketing,Finance,26,Onsite,38,10,Medium,Burnout,Satisfied,1,Weekly,Poor,North America
40,Prefer not to say,Data Scientist,Healthcare,23,Remote,49,11,Low,Anxiety,Unsatisfied,2,Weekly,Good,North America
50,Non-binary,Sales,Finance,15,Onsite,25,9,Medium,Burnout,Neutral,3,Weekly,Average,North America
50,Prefer not to say,HR,IT,10,Onsite,39,8,High,Anxiety,Unsatisfied,5,Weekly,Good,North America
52,Female,Software Engineer,Healthcare,14,Remote,55,10,Low,None,Neutral,3,Weekly,Poor,North America
51,Prefer not to say,Designer,Retail,33,Remote,28,9,Low,Depression,Unsatisfied,5,Daily,Good,North America
36,Prefer not to say,Data Scientist,Finance,9,Remote,25,15,Medium,None,Neutral,2,Daily,Good,North America
29,Non-binary,Software Engineer,Education,21,Onsite,22,6,Low,Depression,Unsatisfied,2,Daily,Average,North America
25,Prefer not to say,Data Scientist,Healthcare,14,Hybrid,32,10,Low,None,Satisfied,4,Weekly,Average,North America
30,Male,Designer,IT,14,Hybrid,49,2,Low,None,Unsatisfied,1,Weekly,Poor,North America
23,Prefer not to say,Designer,Healthcare,22,Remote,37,14,Low,Depression,Unsatisfied,3,None,Average,North America
35,Prefer not to say,HR,Finance,12,Onsite,22,3,Low,Burnout,Satisfied,4,Daily,Average,North America
53,Male,Data Scientist,Consulting,1,Onsite,29,1,Medium,Anxiety,Neutral,1,Daily,Average,North America
37,Non-binary,Marketing,Manufacturing,15,Onsite,56,2,Medium,None,Unsatisfied,4,Weekly,Poor,North America
27,Female,Software Engineer,Retail,23,Hybrid,60,8,High,Depression,Neutral,4,None,Poor,North America
55,Male,Designer,Finance,11,Remote,59,6,Low,Depression,Neutral,4,None,Good,North America
40,Non-binary,Project Manager,IT,3,Remote,54,15,High,Anxiety,Neutral,2,None,Average,North America
30,Female,Sales,Healthcare,16,Onsite,52,15,High,None,Neutral,4,Daily,Good,North America
30,Prefer not to say,HR,Manufacturing,14,Remote,39,4,Low,Burnout,Neutral,3,Daily,Good,North America
35,Prefer not to say,HR,Retail,20,Remote,34,0,Medium,Burnout,Unsatisfied,2,Weekly,Poor,North America
29,Non-binary,Designer,Finance,14,Remote,47,7,High,Burnout,Neutral,2,None,Average,North America
59,Prefer not to say,HR,IT,23,Remote,25,15,Medium,Anxiety,Unsatisfied,1,None,Average,North America
25,Female,Sales,Healthcare,2,Onsite,45,11,Low,Burnout,Unsatisfied,4,Daily,Good,North America
34,Prefer not to say,Project Manager,Education,11,Onsite,58,10,High,Burnout,Unsatisfied,3,None,Average,North America
56,Non-binary,Marketing,Manufacturing,30,Onsite,32,5,Low,Burnout,Neutral,1,Daily,Average,North America
46,Male,Data Scientist,Finance,7,Hybrid,45,15,High,Burnout,Unsatisfied,2,Weekly,Average,North America
27,Male,Data Scientist,IT,11,Hybrid,21,12,Low,Anxiety,Unsatisfied,2,Weekly,Average,North America
24,Prefer not to say,Marketing,Healthcare,13,Hybrid,45,3,Low,Depression,Satisfied,5,Weekly,Poor,North America
38,Male,HR,IT,10,Hybrid,37,0,High,Anxiety,Neutral,3,Daily,Poor,North America
30,Male,Marketing,IT,31,Onsite,25,4,High,Depression,Satisfied,3,None,Good,North America
25,Female,HR,Finance,23,Onsite,36,9,Low,Anxiety,Neutral,3,Weekly,Average,North America
45,Male,Project Manager,Healthcare,30,Hybrid,43,7,Medium,Depression,Unsatisfied,4,None,Good,North America
48,Female,Software Engineer,Retail,7,Remote,22,2,High,Anxiety,Satisfied,4,Weekly,Poor,North America
46,Prefer not to say,Marketing,Retail,12,Remote,42,7,Low,Anxiety,Neutral,4,None,Poor,North America
33,Male,HR,Manufacturing,24,Hybrid,37,8,Low,None,Satisfied,5,Daily,Average,North America
29,Non-binary,Data Scientist,IT,23,Remote,56,7,High,Anxiety,Neutral,5,Weekly,Poor,North America
54,Non-binary,Project Manager,Retail,14,Remote,26,15,Medium,Depression,Neutral,2,Daily,Good,North America
57,Prefer not to say,Software Engineer,Education,7,Remote,43,8,Medium,None,Unsatisfied,3,None,Poor,North America
54,Prefer not to say,Designer,Healthcare,19,Remote,39,12,Medium,Burnout,Unsatisfied,1,Weekly,Poor,North America
36,Female,Marketing,Healthcare,31,Onsite,41,13,Medium,None,Satisfied,2,Weekly,Average,North America
24,Female,HR,Consulting,17,Hybrid,43,11,Low,Depression,Satisfied,1,Weekly,Poor,North America
29,Prefer not to say,Marketing,Manufacturing,9,Remote,59,5,High,None,Unsatisfied,1,Daily,Poor,North America
28,Non-binary,Data Scientist,Finance,30,Hybrid,53,6,Medium,Burnout,Satisfied,3,Daily,Average,North America
44,Male,Data Scientist,Retail,10,Onsite,29,7,Medium,Anxiety,Satisfied,1,Daily,Poor,North America
43,Male,Marketing,Retail,19,Remote,59,15,High,None,Neutral,4,Daily,Average,North America
24,Non-binary,Designer,Manufacturing,21,Hybrid,33,6,Low,None,Neutral,3,Weekly,Average,North America
29,Female,Data Scientist,Finance,16,Remote,28,0,High,Burnout,Neutral,3,Daily,Average,North America
40,Male,Software Engineer,Manufacturing,24,Hybrid,44,9,High,Burnout,Neutral,4,Weekly,Good,North America
34,Non-binary,Sales,Consulting,22,Remote,35,9,Medium,Depression,Satisfied,5,Daily,Good,North America
60,Non-binary,Project Manager,Manufacturing,33,Hybrid,50,7,High,Anxiety,Unsatisfied,5,Weekly,Poor,North America
36,Non-binary,Marketing,Finance,33,Remote,42,9,Medium,None,Unsatisfied,5,Daily,Good,North America
29,Non-binary,HR,IT,6,Hybrid,58,15,Medium,Anxiety,Neutral,5,Weekly,Average,North America
45,Prefer not to say,Data Scientist,Education,24,Onsite,22,0,High,Depression,Neutral,3,Weekly,Poor,North America
26,Prefer not to say,Project Manager,IT,29,Hybrid,56,1,Low,Anxiety,Satisfied,5,None,Good,North America
38,Male,Marketing,IT,34,Remote,40,6,High,None,Satisfied,3,None,Poor,North America
37,Male,Project Manager,Manufacturing,24,Remote,60,5,Medium,Anxiety,Neutral,3,None,Poor,North America
29,Non-binary,HR,IT,5,Remote,40,14,High,None,Unsatisfied,2,Daily,Average,North America
44,Female,Data Scientist,Finance,23,Remote,52,12,Low,None,Unsatisfied,4,Weekly,Poor,North America
57,Male,Software Engineer,Education,26,Onsite,37,11,Medium,Burnout,Unsatisfied,3,None,Good,North America
