Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Stress_Level,Mental_Health_Condition,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region
47,Non-binary,HR,Education,18,Remote,35,15,High,Anxiety,Unsatisfied,2,Daily,Average,Asia
48,Non-binary,Marketing,Consulting,5,Remote,41,8,Medium,Depression,Satisfied,4,Weekly,Poor,Europe
36,Prefer not to say,Software Engineer,Healthcare,3,Hybrid,34,12,Low,Depression,Neutral,3,Daily,Average,Africa
45,Male,Designer,Finance,14,Remote,44,10,Low,Anxiety,Unsatisfied,5,Daily,Average,North America
41,Female,Designer,IT,10,Onsite,52,8,High,Depression,Satisfied,4,Daily,Good,Oceania
50,Male,Designer,Consulting,17,Onsite,57,11,Low,Burnout,Unsatisfied,3,Weekly,Good,Oceania
41,Female,Software Engineer,Consulting,34,Remote,32,15,High,Anxiety,Unsatisfied,3,Weekly,Average,Oceania
57,Female,Designer,Consulting,20,Remote,31,6,Low,Burnout,Satisfied,4,Daily,Poor,Oceania
30,Male,Software Engineer,Healthcare,29,Hybrid,58,15,Medium,Burnout,Unsatisfied,2,Weekly,Poor,Africa
23,Female,Data Scientist,Consulting,31,Remote,26,9,Medium,Depression,Unsatisfied,2,None,Poor,Asia
30,Male,Software Engineer,Consulting,17,Remote,57,5,Low,None,Unsatisfied,4,Weekly,Average,North America
47,Female,Project Manager,Healthcare,31,Onsite,20,8,Low,None,Neutral,1,None,Good,North America
33,Prefer not to say,Project Manager,Finance,23,Hybrid,26,0,High,None,Satisfied,2,Weekly,Average,South America
32,Male,Data Scientist,Finance,21,Hybrid,43,15,High,Depression,Neutral,3,Weekly,Good,North America
43,Male,Designer,Manufacturing,6,Onsite,50,14,Low,Depression,Unsatisfied,3,Daily,Average,South America
43,Non-binary,Software Engineer,Healthcare,14,Onsite,52,0,High,Burnout,Satisfied,3,Weekly,Good,Oceania
35,Female,Marketing,IT,34,Hybrid,37,1,Medium,Anxiety,Satisfied,1,None,Average,Africa
40,Female,Data Scientist,Education,24,Hybrid,38,0,High,None,Neutral,1,None,Average,Africa
29,Prefer not to say,Designer,Consulting,3,Hybrid,55,11,High,Depression,Unsatisfied,2,Weekly,Poor,South America
24,Non-binary,Data Scientist,Manufacturing,5,Hybrid,53,14,Medium,None,Neutral,1,Weekly,Average,Africa
40,Male,Software Engineer,Healthcare,11,Onsite,20,13,Medium,Burnout,Neutral,1,None,Good,Oceania
22,Female,Software Engineer,Manufacturing,10,Hybrid,46,1,Low,Anxiety,Neutral,5,Daily,Poor,Africa
48,Non-binary,Software Engineer,Education,35,Onsite,30,8,Low,Depression,Satisfied,2,None,Average,Africa
60,Non-binary,Software Engineer,Retail,27,Remote,50,8,High,Anxiety,Satisfied,3,Daily,Poor,Asia
34,Prefer not to say,HR,Healthcare,15,Remote,50,13,Medium,None,Satisfied,2,Daily,Average,Europe
50,Prefer not to say,Project Manager,Manufacturing,10,Hybrid,50,0,Low,Burnout,Satisfied,3,Daily,Poor,Europe
38,Male,Designer,Retail,19,Remote,23,7,Low,None,Neutral,3,None,Poor,North America
36,Male,Data Scientist,Retail,33,Onsite,45,3,Medium,Depression,Unsatisfied,4,None,Good,Europe
35,Non-binary,Software Engineer,Finance,11,Hybrid,25,4,Medium,Burnout,Satisfied,3,Weekly,Good,South America
25,Prefer not to say,Designer,Manufacturing,35,Remote,36,9,High,None,Neutral,4,Weekly,Good,North America
34,Non-binary,HR,Education,10,Onsite,60,3,Low,None,Unsatisfied,5,Daily,Good,Europe
32,Prefer not to say,Project Manager,Healthcare,12,Remote,35,7,Low,Anxiety,Satisfied,4,Daily,Average,Europe
58,Prefer not to say,Marketing,Manufacturing,14,Hybrid,55,12,Medium,Depression,Satisfied,4,None,Good,North America
40,Female,Project Manager,Finance,31,Onsite,47,10,Medium,None,Neutral,2,Weekly,Good,Europe
56,Female,HR,Healthcare,32,Hybrid,57,10,High,None,Satisfied,4,None,Good,South America
44,Non-binary,HR,Education,17,Hybrid,22,9,Medium,None,Unsatisfied,1,None,Good,South America
30,Non-binary,Data Scientist,IT,22,Remote,43,5,Medium,Burnout,Neutral,2,Daily,Poor,Europe
49,Non-binary,Marketing,Consulting,29,Remote,45,9,Low,None,Unsatisfied,4,Weekly,Good,South America
26,Male,Designer,Healthcare,21,Onsite,56,14,Low,Burnout,Satisfied,1,Weekly,Average,Europe
52,Male,Data Scientist,IT,22,Onsite,46,14,High,Depression,Neutral,2,Daily,Good,Africa
24,Prefer not to say,HR,Manufacturing,13,Hybrid,60,0,Medium,Depression,Neutral,2,Daily,Good,Europe
40,Non-binary,Designer,Consulting,12,Remote,32,9,Medium,Depression,Unsatisfied,1,None,Average,Asia
57,Non-binary,HR,Manufacturing,11,Hybrid,59,13,Medium,Anxiety,Unsatisfied,4,Weekly,Average,Oceania
23,Prefer not to say,Software Engineer,Consulting,17,Onsite,60,13,High,None,Neutral,5,Daily,Good,Oceania
40,Prefer not to say,Data Scientist,IT,35,Hybrid,43,4,High,Burnout,Unsatisfied,3,Weekly,Average,Oceania
45,Male,Data Scientist,Education,15,Remote,33,8,Low,Burnout,Satisfied,2,None,Poor,North America
46,Female,Data Scientist,Finance,11,Hybrid,20,14,Low,None,Satisfied,2,Daily,Average,Europe
37,Female,Software Engineer,Retail,16,Hybrid,27,2,Medium,Anxiety,Unsatisfied,3,Weekly,Poor,North America
51,Female,Software Engineer,Healthcare,4,Onsite,43,1,Medium,Depression,Unsatisfied,2,Weekly,Average,South America
52,Male,Sales,IT,29,Onsite,23,12,Medium,Depression,Neutral,1,Daily,Average,South America
53,Male,Data Scientist,Education,22,Onsite,29,0,Medium,Burnout,Neutral,4,None,Good,Africa
39,Male,Sales,Education,7,Remote,47,0,Medium,None,Neutral,4,None,Poor,North America
56,Female,Designer,Healthcare,28,Onsite,46,12,Low,Anxiety,Neutral,5,None,Good,Oceania
59,Non-binary,Marketing,Manufacturing,13,Hybrid,40,2,Low,None,Neutral,4,Weekly,Average,South America
28,Male,Project Manager,Retail,7,Remote,47,0,High,Burnout,Unsatisfied,3,Daily,Poor,Oceania
36,Female,Data Scientist,Finance,3,Remote,53,7,High,Burnout,Unsatisfied,2,Daily,Average,South America
45,Non-binary,Sales,Education,3,Hybrid,55,14,Medium,Burnout,Neutral,1,Daily,Average,Oceania
52,Male,Sales,Retail,2,Remote,40,1,Medium,Anxiety,Neutral,3,Weekly,Good,Asia
55,Female,Project Manager,IT,32,Hybrid,28,8,Low,Depression,Satisfied,1,None,Poor,Asia
58,Male,Sales,Consulting,18,Hybrid,39,14,Low,Burnout,Neutral,1,Weekly,Good,South America
51,Prefer not to say,Software Engineer,IT,14,Onsite,41,5,Medium,Burnout,Unsatisfied,2,None,Good,Asia
52,Male,Data Scientist,Finance,5,Onsite,21,3,Low,Burnout,Satisfied,5,Daily,Poor,Oceania
54,Non-binary,Project Manager,IT,12,Onsite,34,11,Low,Burnout,Unsatisfied,5,Daily,Good,Africa
35,Male,Designer,Retail,2,Remote,36,14,Low,Burnout,Unsatisfied,2,Weekly,Good,Europe
39,Male,Marketing,Manufacturing,19,Remote,32,2,High,Anxiety,Satisfied,4,Weekly,Average,North America
47,Prefer not to say,Sales,Consulting,7,Hybrid,21,8,Medium,Anxiety,Unsatisfied,5,None,Average,Africa
49,Male,Project Manager,Manufacturing,31,Onsite,56,3,High,Anxiety,Satisfied,4,Daily,Poor,Europe
60,Prefer not to say,Marketing,Manufacturing,33,Onsite,58,8,Low,Burnout,Satisfied,4,None,Poor,North America
47,Female,Software Engineer,Manufacturing,11,Onsite,35,8,High,None,Satisfied,4,None,Good,Oceania
27,Prefer not to say,Project Manager,Healthcare,22,Hybrid,52,3,Low,Anxiety,Satisfied,5,Weekly,Good,Europe
46,Prefer not to say,Marketing,Consulting,30,Remote,33,8,Low,Depression,Neutral,4,Daily,Average,South America
25,Non-binary,Software Engineer,Manufacturing,22,Remote,47,9,Medium,Burnout,Neutral,4,None,Good,Europe
30,Male,HR,Education,11,Onsite,56,13,Medium,Depression,Satisfied,4,None,Poor,Oceania
38,Prefer not to say,Data Scientist,Education,35,Onsite,33,4,Low,Anxiety,Neutral,2,Daily,Average,Europe
56,Female,HR,Education,5,Remote,60,9,Low,Anxiety,Satisfied,4,Weekly,Average,Asia
42,Male,Sales,Manufacturing,23,Hybrid,32,5,Low,Burnout,Unsatisfied,1,Weekly,Good,South America
42,Prefer not to say,Project Manager,Retail,18,Hybrid,48,9,Medium,None,Satisfied,5,None,Good,Oceania
30,Female,HR,IT,20,Hybrid,39,6,High,None,Neutral,5,None,Average,Asia
33,Male,Software Engineer,Consulting,6,Onsite,23,6,High,Anxiety,Unsatisfied,2,Weekly,Good,Asia
28,Non-binary,Marketing,Retail,29,Hybrid,38,3,High,Anxiety,Satisfied,1,None,Average,Africa
50,Non-binary,Designer,Manufacturing,1,Remote,30,5,Low,Anxiety,Unsatisfied,2,Daily,Average,North America
44,Male,Software Engineer,Retail,4,Onsite,35,3,Low,None,Neutral,1,Weekly,Good,Africa
40,Female,Data Scientist,Healthcare,6,Remote,22,0,Medium,None,Satisfied,4,Weekly,Average,South America
23,Male,Project Manager,IT,8,Onsite,28,15,Medium,Depression,Satisfied,3,Weekly,Poor,Asia
30,Female,Marketing,Consulting,32,Onsite,57,4,Medium,Burnout,Neutral,5,Weekly,Good,Oceania
42,Female,HR,Manufacturing,10,Hybrid,48,14,Low,Burnout,Satisfied,1,Weekly,Good,Europe
52,Male,Marketing,Retail,7,Onsite,45,14,Medium,Burnout,Unsatisfied,4,Daily,Average,Africa
37,Male,Marketing,Healthcare,29,Onsite,34,3,Low,Burnout,Satisfied,2,Weekly,Poor,Oceania
28,Prefer not to say,Marketing,Manufacturing,19,Hybrid,59,9,Low,Burnout,Unsatisfied,2,Weekly,Poor,Africa
31,Prefer not to say,Software Engineer,Consulting,18,Remote,31,6,High,None,Neutral,2,Weekly,Average,Asia
23,Prefer not to say,Marketing,Retail,9,Onsite,55,12,Low,Burnout,Neutral,5,Daily,Poor,Africa
37,Male,Data Scientist,Finance,18,Remote,23,11,Low,Burnout,Unsatisfied,4,None,Average,Oceania
25,Male,HR,Healthcare,33,Hybrid,51,7,Medium,Depression,Neutral,1,Weekly,Average,Europe
55,Female,Software Engineer,Manufacturing,13,Remote,32,11,Medium,Depression,Satisfied,4,Daily,Average,Europe
56,Non-binary,Marketing,IT,4,Remote,41,14,Low,Depression,Neutral,1,Weekly,Good,North America
51,Prefer not to say,Software Engineer,Manufacturing,24,Hybrid,46,10,Low,None,Neutral,1,Daily,Poor,South America
35,Male,HR,Education,6,Onsite,58,15,High,Depression,Neutral,2,Weekly,Poor,Oceania
22,Non-binary,Sales,Manufacturing,2,Onsite,59,13,High,Burnout,Satisfied,3,Weekly,Poor,North America
34,Non-binary,Project Manager,Education,10,Remote,40,1,Medium,Depression,Neutral,4,Weekly,Good,Oceania
37,Prefer not to say,Sales,Retail,32,Remote,56,3,High,Burnout,Neutral,1,Weekly,Poor,Europe
59,Prefer not to say,Software Engineer,Finance,17,Onsite,47,11,High,Anxiety,Neutral,3,Weekly,Poor,North America
53,Female,Project Manager,IT,25,Hybrid,38,2,Low,Anxiety,Satisfied,3,None,Good,South America
38,Male,Data Scientist,Healthcare,25,Remote,59,12,Low,Anxiety,Neutral,1,Weekly,Average,South America
32,Male,Project Manager,Manufacturing,17,Onsite,47,4,Medium,None,Unsatisfied,4,None,Poor,Oceania
36,Prefer not to say,HR,Manufacturing,17,Remote,49,6,Medium,Depression,Neutral,5,None,Average,Africa
29,Female,Project Manager,Manufacturing,18,Hybrid,20,6,Low,None,Satisfied,2,Weekly,Poor,Africa
38,Non-binary,Project Manager,Manufacturing,26,Hybrid,50,9,High,Anxiety,Satisfied,2,Weekly,Good,South America
